iter	Passed	Remaining
0	1	145
1	2	122
2	4	129
3	7	171
4	9	188
5	11	177
6	13	179
7	14	171
8	16	162
9	17	154
10	18	145
11	20	153
12	24	164
13	25	158
14	27	153
15	29	152
16	30	148
17	31	142
18	32	137
19	35	142
20	37	141
21	40	142
22	41	139
23	42	136
24	43	131
25	44	127
26	45	123
27	46	119
28	47	115
29	48	114
30	51	114
31	53	113
32	54	110
33	55	107
34	56	104
35	57	101
36	58	98
37	58	96
38	60	94
39	61	91
40	62	89
41	63	87
42	66	87
43	67	85
44	68	83
45	69	81
46	70	78
47	70	76
48	71	74
49	72	72
50	73	70
51	74	68
52	75	66
53	76	65
54	78	63
55	80	63
56	82	62
57	83	60
58	84	58
59	85	57
60	86	55
61	87	53
62	88	51
63	88	49
64	89	48
65	90	46
66	91	45
67	97	45
68	98	44
69	99	42
70	100	41
71	101	39
72	102	37
73	103	36
74	104	34
75	105	33
76	106	31
77	107	30
78	108	28
79	113	28
80	114	26
81	116	25
82	117	23
83	117	22
84	118	20
85	119	19
86	120	17
87	121	16
88	122	15
89	125	13
90	126	12
91	128	11
92	129	9
93	130	8
94	131	6
95	132	5
96	132	4
97	133	2
98	134	1
99	135	0
