iter	Passed	Remaining
0	167	167293
1	170	84985
2	172	57424
3	174	43483
4	176	35028
5	177	29379
6	178	25351
7	180	22337
8	184	20261
9	185	18391
10	187	16855
11	188	15553
12	190	14470
13	191	13515
14	193	12683
15	194	11961
16	198	11450
17	199	10877
18	200	10352
19	201	9882
20	203	9464
21	204	9083
22	205	8743
23	207	8426
24	210	8223
25	213	8014
26	215	7769
27	216	7531
28	218	7308
29	219	7097
30	220	6900
31	222	6717
32	224	6585
33	226	6422
34	227	6273
35	229	6139
36	230	6003
37	232	5876
38	233	5750
39	234	5628
40	235	5513
41	236	5403
42	239	5326
43	240	5236
44	242	5142
45	243	5048
46	244	4958
47	245	4872
48	246	4792
49	248	4720
50	249	4648
51	251	4580
52	253	4534
53	255	4479
54	257	4431
55	259	4372
56	260	4315
57	262	4256
58	263	4199
59	264	4144
60	267	4114
61	268	4062
62	269	4011
63	271	3966
64	272	3923
65	274	3889
66	276	3847
67	277	3803
68	278	3761
69	281	3743
70	284	3723
71	285	3683
72	287	3644
73	288	3605
74	289	3567
75	290	3533
76	291	3496
77	292	3462
78	294	3429
79	296	3415
80	298	3388
81	300	3368
82	301	3334
83	303	3309
84	304	3282
85	306	3253
86	307	3225
87	309	3202
88	312	3196
89	313	3171
90	314	3144
91	315	3118
92	317	3093
93	318	3069
94	319	3044
95	320	3021
96	321	2996
97	323	2974
98	326	2975
99	328	2953
100	329	2934
101	331	2915
102	332	2899
103	334	2881
104	335	2861
105	336	2840
106	337	2819
107	341	2819
108	342	2802
109	344	2784
110	346	2771
111	347	2754
112	348	2737
113	349	2718
114	351	2701
115	352	2684
116	353	2666
117	356	2662
118	357	2650
119	359	2633
120	360	2617
121	361	2599
122	362	2584
123	363	2569
124	365	2555
125	366	2541
126	367	2525
127	370	2523
128	372	2515
129	374	2504
130	375	2492
131	377	2480
132	378	2467
133	379	2455
134	381	2443
135	383	2438
136	385	2429
137	387	2418
138	388	2408
139	390	2397
140	391	2386
141	392	2371
142	393	2359
143	394	2347
144	396	2336
145	401	2347
146	402	2336
147	403	2325
148	405	2313
149	406	2302
150	407	2290
151	408	2279
152	410	2269
153	411	2259
154	413	2254
155	415	2246
156	416	2237
157	418	2229
158	419	2220
159	421	2212
160	422	2199
161	423	2190
162	424	2180
163	425	2170
164	427	2165
165	429	2158
166	431	2149
167	433	2144
168	434	2135
169	435	2125
170	436	2117
171	437	2107
172	439	2099
173	440	2090
174	443	2090
175	446	2091
176	448	2084
177	449	2077
178	451	2071
179	453	2063
180	454	2056
181	455	2047
182	458	2046
183	459	2039
184	461	2031
185	462	2024
186	464	2018
187	465	2012
188	467	2005
189	468	1998
190	470	1990
191	476	2003
192	477	1996
193	478	1988
194	479	1981
195	481	1974
196	482	1967
197	483	1960
198	485	1952
199	490	1962
200	492	1959
201	494	1953
202	496	1948
203	497	1941
204	498	1934
205	500	1927
206	503	1928
207	504	1922
208	506	1916
209	508	1911
210	509	1905
211	510	1898
212	512	1892
213	513	1885
214	514	1879
215	519	1885
216	522	1884
217	523	1877
218	524	1871
219	525	1864
220	527	1858
221	528	1852
222	531	1850
223	532	1845
224	534	1840
225	535	1834
226	537	1828
227	538	1822
228	539	1817
229	541	1811
230	542	1805
231	543	1799
232	549	1808
233	550	1803
234	552	1797
235	553	1791
236	554	1786
237	556	1780
238	557	1774
239	558	1769
240	563	1775
241	565	1771
242	567	1766
243	568	1762
244	570	1757
245	571	1752
246	572	1746
247	574	1741
248	576	1737
249	577	1733
250	579	1729
251	581	1725
252	582	1720
253	583	1715
254	585	1709
255	586	1703
256	587	1698
257	590	1698
258	592	1696
259	594	1691
260	595	1686
261	596	1680
262	598	1675
263	599	1670
264	600	1665
265	601	1660
266	603	1655
267	605	1653
268	607	1651
269	609	1646
270	610	1643
271	612	1639
272	613	1633
273	614	1628
274	615	1623
275	616	1617
276	619	1616
277	620	1612
278	622	1608
279	623	1603
280	625	1599
281	626	1595
282	628	1592
283	629	1587
284	630	1583
285	636	1589
286	638	1585
287	639	1580
288	640	1576
289	642	1571
290	643	1568
291	645	1564
292	646	1560
293	649	1559
294	650	1555
295	652	1551
296	653	1547
297	655	1543
298	656	1540
299	658	1535
300	659	1531
301	660	1527
302	663	1526
303	665	1524
304	667	1520
305	668	1515
306	669	1511
307	670	1507
308	672	1503
309	673	1498
310	674	1494
311	675	1490
312	678	1489
313	681	1488
314	682	1485
315	684	1481
316	685	1477
317	687	1474
318	688	1470
319	689	1465
320	690	1461
321	693	1459
322	694	1456
323	696	1453
324	697	1449
325	699	1446
326	700	1442
327	701	1438
328	703	1434
329	704	1430
330	707	1429
331	708	1425
332	709	1421
333	710	1417
334	712	1413
335	713	1409
336	714	1405
337	715	1401
338	717	1398
339	718	1395
340	721	1394
341	722	1390
342	725	1389
343	726	1386
344	728	1382
345	729	1378
346	730	1374
347	731	1371
348	732	1367
349	734	1363
350	736	1361
351	737	1358
352	739	1355
353	740	1351
354	742	1348
355	743	1345
356	745	1342
357	746	1338
358	747	1334
359	748	1331
360	752	1332
361	754	1329
362	755	1325
363	756	1321
364	757	1318
365	758	1314
366	760	1311
367	761	1307
368	762	1304
369	763	1300
370	765	1298
371	767	1295
372	769	1293
373	770	1290
374	772	1287
375	773	1284
376	775	1281
377	776	1277
378	777	1274
379	781	1274
380	783	1272
381	784	1269
382	785	1265
383	786	1262
384	788	1258
385	789	1255
386	790	1252
387	791	1248
388	793	1245
389	795	1244
390	797	1241
391	798	1238
392	800	1235
393	802	1233
394	803	1231
395	805	1228
396	806	1224
397	807	1221
398	810	1220
399	811	1217
400	812	1213
401	814	1211
402	815	1208
403	817	1205
404	818	1202
405	819	1198
406	820	1195
407	821	1192
408	822	1188
409	825	1188
410	827	1186
411	828	1182
412	830	1179
413	831	1176
414	832	1173
415	833	1170
416	835	1167
417	836	1164
418	837	1161
419	840	1161
420	842	1159
421	844	1156
422	845	1153
423	847	1151
424	848	1148
425	849	1145
426	850	1141
427	852	1138
428	854	1137
429	856	1135
430	857	1132
431	859	1129
432	860	1126
433	862	1124
434	863	1121
435	864	1118
436	865	1115
437	867	1112
438	870	1111
439	871	1109
440	873	1107
441	874	1104
442	875	1101
443	877	1098
444	878	1095
445	879	1092
446	880	1089
447	883	1088
448	884	1085
449	886	1082
450	887	1080
451	888	1077
452	890	1074
453	891	1072
454	892	1069
455	894	1066
456	895	1063
457	898	1062
458	899	1060
459	901	1058
460	903	1056
461	904	1053
462	905	1050
463	907	1047
464	908	1045
465	909	1042
466	910	1039
467	913	1038
468	915	1036
469	916	1033
470	918	1031
471	919	1028
472	921	1026
473	922	1023
474	923	1020
475	924	1018
476	927	1016
477	928	1014
478	929	1011
479	931	1009
480	933	1006
481	934	1004
482	935	1001
483	937	999
484	938	996
485	939	993
486	942	993
487	945	991
488	946	989
489	947	986
490	948	983
491	950	981
492	951	978
493	952	976
494	954	973
495	956	971
496	958	969
497	960	968
498	962	966
499	963	963
500	965	961
501	966	958
502	967	956
503	969	953
504	972	952
505	973	950
506	974	947
507	976	945
508	977	943
509	979	940
510	980	938
511	981	935
512	982	933
513	984	931
514	986	929
515	988	927
516	989	924
517	990	922
518	991	919
519	992	916
520	994	913
521	995	911
522	996	909
523	998	906
524	1000	905
525	1002	903
526	1003	900
527	1005	898
528	1006	896
529	1008	893
530	1009	891
531	1010	889
532	1012	886
533	1013	884
534	1016	883
535	1018	881
536	1019	879
537	1020	876
538	1022	874
539	1023	871
540	1024	869
541	1026	867
542	1027	865
543	1032	865
544	1033	862
545	1034	860
546	1036	858
547	1037	856
548	1039	853
549	1040	851
550	1041	848
551	1043	846
552	1045	845
553	1047	843
554	1048	840
555	1050	838
556	1051	836
557	1053	834
558	1054	831
559	1055	829
560	1056	826
561	1058	824
562	1062	824
563	1063	822
564	1064	819
565	1066	817
566	1067	815
567	1068	812
568	1069	810
569	1070	807
570	1072	805
571	1074	804
572	1076	801
573	1077	799
574	1078	797
575	1080	795
576	1082	793
577	1083	791
578	1084	788
579	1085	786
580	1086	783
581	1089	782
582	1090	779
583	1091	777
584	1093	775
585	1094	773
586	1096	771
587	1097	768
588	1098	766
589	1099	764
590	1100	761
591	1103	760
592	1104	758
593	1107	756
594	1108	754
595	1109	752
596	1110	749
597	1111	747
598	1113	745
599	1114	742
600	1115	740
601	1117	738
602	1118	736
603	1120	734
604	1121	732
605	1123	730
606	1124	728
607	1126	726
608	1127	723
609	1128	721
610	1129	719
611	1130	716
612	1136	717
613	1138	715
614	1139	713
615	1141	711
616	1142	709
617	1143	706
618	1144	704
619	1149	704
620	1151	702
621	1152	700
622	1155	699
623	1156	697
624	1158	694
625	1159	692
626	1160	690
627	1163	688
628	1164	686
629	1165	684
630	1167	682
631	1168	680
632	1170	678
633	1171	676
634	1172	674
635	1174	672
636	1175	669
637	1178	668
638	1180	666
639	1181	664
640	1183	662
641	1184	660
642	1185	658
643	1186	655
644	1187	653
645	1188	651
646	1190	649
647	1193	648
648	1195	646
649	1197	644
650	1198	642
651	1200	640
652	1201	638
653	1202	636
654	1203	634
655	1206	632
656	1208	630
657	1209	628
658	1211	626
659	1212	624
660	1213	622
661	1214	620
662	1216	618
663	1217	615
664	1218	613
665	1221	612
666	1224	611
667	1225	609
668	1227	607
669	1228	605
670	1229	603
671	1231	600
672	1232	598
673	1233	596
674	1236	595
675	1237	593
676	1238	591
677	1240	589
678	1242	587
679	1243	585
680	1244	583
681	1245	580
682	1246	578
683	1247	576
684	1250	575
685	1253	573
686	1254	571
687	1255	569
688	1257	567
689	1258	565
690	1260	563
691	1261	561
692	1262	559
693	1266	558
694	1267	556
695	1269	554
696	1272	553
697	1273	551
698	1275	549
699	1276	547
700	1278	545
701	1280	543
702	1281	541
703	1283	539
704	1284	537
705	1286	535
706	1288	533
